plate	Well	Gen550_s_scaled	Gen1410_s_scaled	Gen5150_s_scaled	Gen10150_s_scaled	Gen70_s_scaled	Gen2640_s_scaled	Gen3630_s_scaled	Gen7530_s_scaled	platewell	contam	strain	genes_w_nonsyn_muts	focal
P2	E01	-0.05788665303116097	-0.04747840724147012	-0.00466605527397132		-0.10032850420182866	-0.03212290527683758	-0.014206002257510538	0.010885629818661006	P2E01	blank	blank		False
P2	E02	-0.023225807816623388	-0.014118243360258709	0.017278604263474474	0.0405052593747018	-0.09063828716579758	-0.004338391563234046	0.01021730488905686	0.03678650041856312	P2E02	No	a		False
P2	E03	-0.05805494848165878	-0.037286095481504834	0.0021976008062227943	0.02315214385177775	-0.10240121801511634	-0.011559749565616615	-0.0005732289202564711	0.013157133479151676	P2E03	No	a		False
P2	E04	-0.05391022484102183	-0.034588434611939015	0.007050486426067997	0.03836691622794743	-0.10353697366830306	-0.022222493478323068	-0.005825155267188418	0.030957948306343755	P2E04	No	a		False
P2	E05	-0.0537496794220486	-0.032820792709157345	-0.01183903548637283		-0.09551180264575362	-0.023369203931242758	-0.025602787172787245		P2E05	blank	blank		False
P2	E06	-0.03056038729123365	-0.0034637259892007824	0.015059320121820766	0.05256288519605139	-0.07655430820382568	0.00023886325110169	0.014283264742048631	0.029998550056701514	P2E06	No	a	TRR1;HIS1;YFR036W-A;RSC8;ADE5,7;MIC26;RSF2;COY1;DYN1;HSP104;SYM1;BNI1;AGA1;IRA2;ASE1;YPK9;PDR12;FLO1;RGD1;FAR1;KIN2;REA1;YOR093C;NOP4;BPH1;NUP188;CMP2;WSC2;YSP2;ATF1;PEP1;STE7;SSD1;YDR344C;CDS_IX_205638_206488;CDS_IX_205638_206487;XRN1;KRE33;SLM2;SEC8;MYO4;FRT2;IRA1;SPS2;PPT1;HCR1;VIP1;TAF8;POL1;LAP2;WSC3;YPR157W;AIM2;YBR184W;PUF3;IQG1;DPP1;NAM7;PSK1;DIG1;VHC1;PHD1;SSH1;COS1;FRE1;DCP2;PRB1;YLL054C;FUS2;ABP140;YLR419W;SUC2;VMR1;PRP8;NUP120;FUI1;EMP70;APC4;SEC21;RAD53;CUP9;RGP1;SPC97;MMS1;NOP14;TAF6;YJR087W;ISF1;PAU5;RNT1;DBP7;AIP1;LCB3;GZF3;PTC6;GIT1;SES1;CDS_VII_707917_708766;AAT1;ARO80;NUP145;ART5;MHO1;FRA1;PYC2;SPT8;IOC2;SPT5;MAD1;PEX1;ECM30;HOL1;TKL2;KRS1;STB4;FAA4;YNR075C-A;GSM1;YGL242C;CNE1;CDC15;ARA1;SLI15;ISW1;PAT1;KIN82;HMRA2;GRX3;ARG82;UGO1;YIL020C-A;SLO1;COS4;RIM8;CDS_VIII_85904_86989;OSH7;YHR028W-A;HTD2;LSM12;GND1;NVJ1;CDS_X_197914_198594;YKL223W;YKL123W;YKL069W;YLL059C;REX3;SRN2;YLR202C;YLR261C;YPT6;YMR226C;AEP2;LAP3;RPS3;MRN1;HTS1;HOS1;NOT5;SUA7;YPR142C;YPR159C-A	True
P2	E07	-0.03207672150731014	-0.028096364640158283	-0.01297631739734456		-0.0348320607491658	-0.015703209649904112	-0.01572948425911732		P2E07	blank	blank		False
P2	E08	-0.03890372436663633	-0.04536787055614501	-0.0341572453084809	0.04821966422012085	-0.044361259336161626	-0.03728067713191577	-0.04117945266623444	0.017281686355871104	P2E08	No	diploid	SUM1;ALR2;HXK2;BDF1;YOL075C;HOS2;CDC55;FAS1;CCW12;ADE4;OPT2;SUP35;YOR389W;UBP7;YGL140C;YBT1;ISW2;ENP1;NRP1;BFR2;SER3;DPB11;MET5;YBR184W;MRE11;SWR1;TPO5;CSF1;MET12;YHR032W-A;TIM54;DAN4;BER1;YMD8;DPH6;FRE1;UBP14;EEB1;SMC2;SAP190;YLR419W;MAK32;SUC2;OXA1;MID1;UGP1;NPP1;HKR1;VPS54;IRC3;RSC2;ATG23;RGA1;NUR1;YRO2;OKP1;NUP53;NBA1;INO80;CDC60;ARO80;RSE1;ISN1;RAV1;PHO3;CEP3;BUL1;YOR343C;RIM13;YGL193C;CLN1;POS5;MLH3;OCA4;MTL1;GPI1;SPT23;SUA7;CTO1;YIL108W;EGH1;MIT1;FAA2;ACA1;AAD16;PEX8;AZR1;YHR032C-A;SAE3;YJL107C;VPS70;MRPL31;HMG2;DLT1;RRB1;YMR153C-A;YNL337W;YNL193W;EAF7;CPR8;MRPS12;IRC10;BUB3;YOR282W;MRPL40;YPR087W;SRP54	True
P2	E09	-0.0389231827264591	-0.02291467087139901	-0.015009938715225981	0.04533945594213419	-0.04161778078756341	-0.015748838724967417	-0.01811960612014557	-0.004861670825369019	P2E09	No	diploid		False
P2	E10	-0.03602047616395592	-0.037340813836465016	0.02854259143574952	0.058306471178061973	-0.038954939968732505	0.006887028865779995	0.02544966830551871	0.04574572177274225	P2E10	No	diploid		False
