	gene	pops
1010	GPI14	P3G06
1011	MNS1	P3G06;P3F11;P1B07
1012	COS5	P3G06
1013	MCH2	P3G06;P2B05
1014	CBT1	P3G06
1015	TPO5	P3G06;P2G05;P1C07;P2E08
1016	RSC4	P3G06;P1F10
1017	IRS4	P3G06;P1F10;P3D05
1018	RPF2	P3G06
1019	YLR141W;YLR141W	P3G06
1020	PEX13	P3G06;P2G04
1021	HMX1	P3G06;P3C04
1022	CDC3	P3G06;P1D09
1023	RPP0	P3G06;P2B04;P1B03
1024	NGL3	P3G06;P3G06;P2C04
1025	UTP14	P3G06;P3D03;P2E11
1026	TCB3	P3G06;P3D10;P1B04;P1G08
1027	DAK1	P3G06;P1E04
1028	PDS5	P3G06;P3D05;P2D08
1029	NAM7	P3G06;P2B04;P2B04;P3D02;P3B08;P2E06;P1C07
1030	MMT1	P3G06;P3C07;P2G05;P1G10;P2B05;P2C06
1031	HXT14	P3G06;P2C02
1032	ATP11	P3G06;P3B10
1033	MET2	P3G06;P3E08;P2B11;P3F07
1034	IPI3	P3G06;P1F05
1035	CPT1	P3G06;P2B04
1036	INP52	P3G06;P3G11
1037	WSC3	P3G06;P3D03;P1E04
1038	ARG1	P3G06;P1B11
1039	RPL33B	P3G06;P1E04
1040	LDB19	P3G06
1041	PDR10	P3G06;P2C04;P3G11;P3G11;P2B04;P3C10;P2G11;P2B05;P3D05;P3E11
1042	PUS1	P3G06
1043	ODC1	P3G06
1044	MAK16	P2C04
1045	LTE1	P2C04;P3C10;P3F05;P3D02
1046	SSA1	P2C04;P2D11
1047	ALG3	P2C04
1048	PIN4	P2C04
1049	SLA1	P2C04;P2D06
1050	SMP1	P2C04;P2G04;P2G09
1051	MAL31	P2C04;P1G09;P3F05
1052	GLK1	P2C04;P2B04
1053	PET18	P2C04
1054	RHB1	P2C04
1055	FEN2	P2C04
1056	WHI4	P2C04;P1B02;P3C03;P1G05;P3D02;P3C05;P1E04;P2D06
1057	SEC31	P2C04;P3F03;P1C04
1058	ATG20	P2C04;P1D03
1059	TMA17	P2C04;P2G09
1060	GPD1	P2C04;P2B11
1061	SES1	P2C04;P2B04;P2B04;P2G05;P2B05;P2E06;P2C05;P2D11
1062	IPT1	P2C04;P2G05;P1G04;P3E08;P2C05
1063	TPS2	P2C04;P2G11;P3G09;P1E09;P3E02
1064	SAC3	P2C04;P1B02;P3C04;P1B07;P2B08
1065	HSP78	P2C04;P2B04;P3C10;P3D02;P2B05;P1G08
1066	DIN7	P2C04
1067	CPR5	P2C04
1068	GPI8	P2C04
1069	PDR15	P2C04;P2G05;P2G10;P3D05;P1C04
1070	HSP31	P2C04
1071	NOT3	P2C04;P2C04;P1B04
1072	IRR1	P2C04
1073	IST3	P2C04
1074	SEC3	P2C04;P1B02;P1B04
1075	THO1	P2C04
1076	RRT13	P2C04
1077	SER3	P2C04;P1G05;P1C04
1078	COM2	P2C04;P3D02
1079	COX15	P2C04;P3F11;P3D10;P1E04
1080	RAD4	P2C04;P2G05
1081	ECM32	P2C04;P1B03;P1C09;P2G04;P2D11;P3E02;P2C02
1082	MSH4	P2C04;P3F05;P3C11;P2C02;P2G09
1083	FAB1	P2C04;P2G11;P1E04;P3E11
1084	SAP4	P2C04
1085	BOL2	P2C04;P2G05;P2C11
1086	HOS2	P2C04;P2E08
1087	ROG1	P2C04;P3B08;P3E02
1088	PDR1	P2C04;P2G05;P3C04;P1E11;P2C02
1089	SCL1	P2C04;P3D03
1090	BUD9	P2C04
1091	UFD1	P2C04;P3C05;P1E09
1092	PIL1	P2C04;P2B05
1093	SKN1	P2C04;P1F07;P3D03
1094	TIF4631	P2C04
1095	SAY1	P2C04;P3F07;P3E02
1096	RIM4	P2C04;P2B08
1097	MRP4	P2C04
1098	YHI9	P2C04
1099	OSH3	P2C04;P3D03;P3D02;P3B11;P1C04
1100	APE4	P2C04
1101	FAR1	P2C04;P2E06;P2F07
1102	BFA1	P2C04
1103	URA8	P2C04;P2B07;P1E04;P2C05;P2C02
1104	CPA2	P2C04;P1B02;P2C06
1105	YJR125C;YJR125C	P2C04
1106	STE6	P2C04;P3D05
1107	MCD4	P2C04;P3D05
1108	TGL1	P2C04
1109	STB6	P2C04;P2G04
1110	YNK1	P2C04;P2B08
1111	TCD2	P2C04
1112	NMT1	P2C04;P2C02
1113	NOP56	P2C04;P3F11;P2B05
1114	STT4	P2C04;P1B02;P3C05;P2B05
1115	TDA5	P2C04;P1C04
1116	ECM30	P2C04;P2E06;P3F09;P2C06;P2C02
1117	YMR033W;YMR033W	P2C04
1118	ABF2	P2C04;P1D03
1119	YTA12	P2C04;P2B04;P3C03;P2G11;P3D05
1120	ASI1	P2C04;P2B07;P2C06
1121	RIM13	P2C04
1122	GCV2	P2C04;P1G09;P1B02
1123	AAD14	P2C04;P1F05
1124	UBP10	P2C04;P3G11;P3C04;P1B04;P1B04;P3D05
1125	NST1	P2C04;P1G04;P1H11
1126	TCB2	P2C04;P2D06
1127	MLF3	P2C04;P3F09
1128	ARP5	P2C04;P2B07;P2B05;P2E11;P1D03
1129	COG6	P2C04;P1F07;P2B10
1130	EFM6	P2C04;P1G04;P3D02
1131	PUL4	P2C04;P3C04
1132	HPF1	P2C04;P2C04;P3C04;P3D05;P1G08;P1G08;P2G09
1133	PHM7	P2C04;P1G09;P3F03;P2C05;P2C02;P2C02
1134	PRS5	P2C04
1135	VPS21	P2C04
1136	RPS7A	P2C04
1137	RTC5	P2C04
1138	IAH1	P2C04;P3C07;P1G04
1139	MTR10	P2C04;P3B10
1140	GAC1	P2C04;P1F10;P3C04;P3D10;P3D02
1141	SRL1	P2C04
1142	LCL1	P2C04
1143	SMA1	P2C04;P2D08;P3F09
1144	NTO1	P2C04
1145	FUS3	P1G09;P1G11
1146	TAF5	P1G09;P3C03;P1H11
1147	DUR1,2	P1G09;P1G05;P1B04;P2C05;P2D06;P2C06;P2C02
1148	BUD3	P1G09;P1B11;P3D03;P2G10;P1B07;P3B11
1149	ADY3	P1G09;P3G11;P3B07;P2F09;P2C05;P3B11
1150	NTH1	P1G09;P1F11
1151	SEC5	P1G09;P1B02;P3C10;P2C06
1152	CDC37	P1G09;P1F10
1153	CTA1	P1G09
1154	SVF1	P1G09;P3G11;P3B10;P1F10;P3C07;P1F11
1155	CSS1	P1G09;P1D09;P1D09;P1B04;P1B04;P1B04;P3F03;P1C04
1156	VAC8	P1G09;P3B10;P2G05;P3C03;P3G10
1157	SBH2	P1G09
1158	CEM1	P1G09
1159	PAU5	P1G09;P2E06
1160	GNA1	P1G09;P1F05
1161	IRC5	P1G09;P2B04
1162	INO80	P1G09;P2B04;P2B05;P2D11
1163	TYW3	P1G09
1164	PHO90	P1G09
1165	IML2	P1G09;P1F07;P1G05;P2E11;P2C05;P1C07
1166	MSA2	P1G09;P1F07;P2G05
1167	NNT1	P1G09
1168	ECM38	P1G09;P2C06;P2C02
1169	STV1	P1G09
1170	BXI1	P1G09;P1B04;P1E04
1171	PTC5	P1G09;P2B05
1172	YPK9	P1G09;P1B02;P2B05;P2E06;P3F03;P3F09;P3E02
1173	SRP68	P1G09
1174	RLM1	P1G09;P3E02
1175	ARP7	P1G09;P3D02
1176	RGC1	P1G09;P3C03;P3F09
1177	YPR204W;YPR204W	P1G09
1178	ACS1	P3G11;P3G10
1179	PSK1	P3G11;P3F05;P3F07;P1C07;P1E09
1180	PKC1	P3G11;P3C04;P3D10;P2F09
1181	RCR1	P3G11
1182	DUG2	P3G11;P2B04;P3E08;P3D05;P3G10
1183	HTL1	P3G11
1184	CBS2	P3G11;P2G04
1185	HXT3	P3G11;P3G11;P2G10;P2G10;P2C11
1186	ESF1	P3G11;P3E02
1187	SDH6	P3G11
1188	ATO3	P3G11;P2C05
1189	HKR1	P3G11;P3G11;P2G05;P2B07;P3F03;P3F03;P3F03;P3F03;P2E08
1190	TIF35	P3G11
1191	PRP3	P3G11;P3F07;P2D08
1192	URC2	P3G11;P3C04;P2D06
1193	KTR7	P3G11;P2B04
1194	PAN1	P3G11;P3C07;P3C07;P3C07;P1E04;P1E04;P1F05;P3E11;P1D03
1195	SNU71	P3G11;P1G05
1196	NNF2	P3G11;P2F09;P3F09
1197	CAF130	P3G11;P3C07;P1B03;P2B05;P2D08;P2G04
1198	SLI1	P3G11;P3D02;P2C02
1199	MYO1	P3G11;P1B04;P1C07;P2D06;P2C06
1200	SSZ1	P3G11;P3C05;P3D05
1201	CRP1	P3G11
1202	SKG6	P3G11;P3E02
1203	RTT107	P3G11;P3F11;P3F03
1204	URB2	P3G11;P2C05;P3B11
1205	HSL1	P3G11;P2C02
1206	LHS1	P3G11
1207	ANR2	P3G11
1208	SDO1	P3G11;P3D05
1209	PER33	P3G11;P3F09
1210	PEX30	P3G11;P2G05;P1D03;P1D03
1211	MAC1	P3G11
1212	JLP2	P3G11
1213	CAT8	P3G11;P1B03
1214	MRX6	P3G11;P2C05
1215	SLM2	P3G11;P2E06
1216	CTR9	P3G11;P1E04
1217	SDD3	P3G11;P3F03
1218	NFI1	P3G11
1219	SAM3	P3G11
1220	KIP2	P3G11;P2B05
1221	SGV1	P3G11;P1F10;P2B04;P2C06;P2G09
1222	RDH54	P3B07;P3C07;P1G05;P2C05
1223	FTH1	P3B07
1224	YPD1	P3B07
1225	DHH1	P3B07;P3F05;P3D02;P1F08;P1F11;P1D03
1226	NAT1	P3B07;P2B05
1227	HEM1	P3B07;P2B10;P3F03
1228	PEP7	P3B07;P2G05
1229	SEC20	P3B07
1230	SLF1	P3B07
1231	HPM1	P3B07;P3F05;P3G10;P2G09
1232	NPP2	P3B07;P2B04;P3C07;P2B10;P3E02
1233	ARB1	P3B07
1234	GLC7	P3B07;P3G09
1235	SMC2	P3B07;P1D09;P1F08;P2E08
1236	YGL234W;YGL234W	P3B07;P3E02
1237	RSM23	P3B07;P3C05
1238	SCY1	P3B07
1239	SMI1	P3B07;P3C11
1240	CDC12	P3B07
1241	BZZ1	P3B07;P3F11;P2B10;P3F07;P3C11;P3C11;P1C04
1242	FUR1	P3B07
1243	HXT8	P3B07
1244	CBP1	P3B07;P1G05;P3D02
1245	HCA4	P3B07
1246	RSF2	P3B07;P1B02;P3D11;P3B08;P2E06
1247	VPS1	P3B07;P2B05
1248	NUP133	P3B07;P3D05;P2C06;P2C02
1249	GPI13	P3B07;P2B05
1250	SPT8	P3B07
1251	SEC10	P3B07;P3C07
1252	OST6	P3B07
1253	SPT21	P3B07;P2B04;P2G04
1254	VNX1	P3B07;P3D02
1255	MON2	P3B07;P3C03;P1B07
1256	FAP1	P3B07;P3F05;P3C05
1257	NOG2	P3B07;P1G05;P3G10
1258	FRE7	P3B07
1259	GRE2	P3B07
1260	GLO4	P3B07
1261	FAA1	P3B07
1262	FRE5	P3B07;P3F11;P1F05;P2C11
1263	GAL4	P3B07;P3D10;P2B08
1264	PCL8	P3B07;P2G09
1265	GIP3	P3B07;P2E11;P1B07
1266	PDR12	P3B07;P1B02;P1B02;P3F03
1267	SMK1	P3B07;P2G05
1268	PRP4	P3B07;P1F10;P1C04
1269	AGP2	P3B10
1270	ELO2	P3B10
1271	HO	P3B10;P2G05;P3D11;P3E11;P2C11
1272	TIM22	P3B10
1273	MKC7	P3B10;P1B04;P2E11;P1C04
1274	SIM1	P3B10
1275	FCY21	P3B10;P3G10
1276	SCM4	P3B10
1277	ASN2	P3B10;P1B02;P2F09;P2B05
1278	CBF2	P3B10;P1B02;P3C07;P3C03;P2B05
1279	TDA3	P3B10;P1E11
1280	PHO12	P3B10;P2C06
1281	GZF3	P3B10
1282	BCK1	P3B10;P2B04;P3F03;P1C04
1283	ACF4	P3B10;P3C11
1284	PCK1	P3B10;P2C02
1285	YLL002W;YLL002W	P3B10
1286	SPO77	P3B10
1287	EAR1	P3B10
1288	RAS2	P3B10;P3C03;P2E11
1289	INP54	P3B10;P3C04
1290	MDM38	P3B10;P3D11
1291	NOB1	P3B10;P3E02
1292	YOR128C;YOR128C	P3B10;P1E11;P1C09
1293	ATF1	P3B10;P1B11;P2E06;P2G04
1294	NEW1	P3B10;P2B04;P3C07;P3C03;P3D03;P1G04;P3F05;P2G04;P2D11
1295	PPQ1	P3B10;P2B05
1296	DAP1	P3B10
1297	REV3	P3B10;P1C04
1298	ISU1	P3B10
1299	RTG3	P1F10;P2B04;P1B02
1300	SNF11	P1F10;P2C06
1301	CDS_IV_878449_882411	P1F10;P3F03
1302	UPC2	P1F10;P3F05
1303	IRC3	P1F10;P2G05;P3E02
1304	JIP4	P1F10;P3C04;P1C07
1305	RRD1	P1F10;P1B02;P3B11
1306	UTP25	P1F10;P1G05;P2C02
1307	PRO3	P1F10;P2B05
1308	YCK3	P1F10;P3C11
1309	YFR034C;YFR034C	P1F10;P1F07
1310	SNT2	P1F10;P2B05;P1F05
1311	MUP3	P1F10;P2C02
1312	ERG11	P1F10;P1B04
1313	MED6	P1F10;P2F09
1314	PAN3	P1F10;P2B04
1315	AUR1	P1F10;P3C10
1316	VPS51	P1F10
1317	RAD5	P1F10;P3C03;P3F05;P3B08
1318	VTA1	P1F10;P3C04
1319	NUP116	P1F10
1320	DCP2	P1F10;P2B04;P2B05;P2E06;P3D05;P2G04;P3E11;P3E11
1321	END3	P1F10
1322	PPM2	P1F10
1323	APM4	P1F10;P2B04;P3D02;P2C11
1324	DIS3	P1F10;P3D05
1325	MRD1	P1F10;P1B11;P1B04;P3D05
1326	MMS1	P1F10;P2E06
1327	PRX1	P1F07
1328	APN2	P1F07;P2B11
1329	NUR1	P1F07;P2E08
1330	DOS2	P1F07;P2F07
1331	GCN2	P1F07;P1B04;P2C05;P3E02
1332	RGA2	P1F07;P3D03;P1F08;P2B05;P1D03;P2G09
1333	TMA108	P1F07;P2G05;P2G09
1334	STH1	P1F07;P2B07
1335	DJP1	P1F07
1336	YPS6	P1F07;P3C04;P3B08
1337	NPR2	P1F07
1338	FCY22	P1F07;P1B02;P3F09
1339	IES5	P1F07
1340	RSP5	P1F07;P2B04
1341	CKB1	P1F07
1342	RBG2	P1F07;P1H11
1343	VTC4	P1F07
1344	SBA1	P1F07
1345	GFA1	P1F07;P2B04;P2G10;P3E02;P3E02
1346	DCK1	P1F07;P1D09
1347	SML1	P1F07
1348	TAP42	P1F07
1349	YPK2	P1F07;P3D11;P3C05;P1B04
1350	ERG29	P1F07
1351	FOL1	P1F07;P2B04;P1G04;P1B04
1352	VPS27	P1F07
1353	CSS3	P1F07;P2B07;P2C05
1354	COQ10	P1F07
1355	AKR2	P1F07;P2E11;P2G04
1356	VPS5	P1F07;P1F08
1357	ELG1	P1F07;P3D10;P2C05
1358	BOL3	P1B11
1359	KAP104	P1B11;P3B11
1360	PCH2	P1B11;P2B07;P3E02
1361	REI1	P1B11
1362	SRF1	P1B11;P3C05;P3D05;P1F05
1363	GCV1	P1B11;P2D06
1364	DOP1	P1B11;P1G04;P1B04;P3D05
1365	SWA2	P1B11;P3F07
1366	YSP2	P1B11;P3D11;P2E06;P2C05;P2D06
1367	GUT2	P1B11
1368	SPO73	P1B11
1369	GDI1	P1B11;P3D03;P2E11;P1E09;P3E02;P1C04
1370	MIL1	P1B11;P3C07
1371	MES1	P1B11;P3F11
1372	RIX1	P1B11
1373	GCD14	P1B11
1374	SMF3	P1B11;P1D09;P1D03;P2G09
1375	XYL2	P1B11;P2G04
1376	ATM1	P1B11;P1G08
1377	CSE2	P1B11;P1F11
1378	BIO5	P1B11;P1B03
1379	UBP2	P1B11;P2B04;P3E02;P1D03;P2C02
1380	YTA6	P1B11;P3D10;P3B08
1381	TFC8	P1B11;P1G05;P1B04
1382	CIT3	P1B11
1383	PTA1	P2B04;P1D03
1384	SPO7	P2B04
1385	PRM9	P2B04;P2B04;P2B04;P2B04;P1D03;P1D03;P1D03
1386	AST1	P2B04
1387	SAS3	P2B04;P1G04;P3D05
1388	EDE1	P2B04;P1G04;P1G08;P1C04;P1C04
1389	STU1	P2B04;P3G10;P2D06;P2B08;P3E02
1390	COQ1	P2B04;P2F07
1391	QDR3	P2B04
1392	TIP1	P2B04
1393	ECM8	P2B04
1394	SIF2	P2B04;P2F09;P3F03
1395	AME1	P2B04;P2G05;P1C09
1396	PBN1	P2B04;P3G10
1397	CDC39	P2B04;P3C07;P2E11;P2D11;P1F11;P1C04
1398	GIT1	P2B04;P3D10;P2G10;P2B05;P3E11
1399	GDH2	P2B04;P3F11;P3F11;P1B04;P3G10
1400	CDC53	P2B04;P2G05
1401	UBX3	P2B04;P2B05;P3E11
1402	USO1	P2B04;P3F11;P3C07;P3C03;P2D06;P1E09
1403	FAD1	P2B04
1404	EHD3	P2B04;P3C03
1405	RRG1	P2B04
1406	MSH6	P2B04;P1G04;P1G08
1407	SPO71	P2B04;P2B04;P1G04;P2G04;P2G09
1408	TMN2	P2B04;P2B04;P3F09;P2C02
1409	TAF12	P2B04;P1C09;P1C09
1410	SEC1	P2B04
1411	STB3	P2B04;P3D05
1412	RAV2	P2B04
1413	AHA1	P2B04;P2B04;P1C09
1414	DON1	P2B04
1415	YHP1	P2B04
1416	PAC11	P2B04;P1B04
1417	AGE1	P2B04;P2B04
1418	PAD1	P2B04;P2C06
1419	SOA1	P2B04
1420	SLN1	P2B04;P2B07;P1E11;P2G09
1421	CAB2	P2B04;P3G09
1422	DFG10	P2B04
1423	SYG1	P2B04
1424	POL5	P2B04
1425	PRP22	P2B04;P2G04;P2C06
1426	MOT2	P2B04;P2B11;P2G04
1427	ILV1	P2B04
1428	TRP2	P2B04;P2G09
1429	KAP123	P2B04;P3D10;P1C04
1430	YER122C;YER122C	P2B04
1431	PEA2	P2B04;P3G10;P1G08
1432	CHD1	P2B04;P3F07;P3F03;P1G11
1433	MOB2	P2B04;P2G10
1434	GSY1	P2B04;P3D11;P2C06
1435	HXK1	P2B04;P2C02
1436	PDE1	P2B04;P3F05
1437	KIP3	P2B04
1438	HUL5	P2B04
1439	TOS8	P2B04
1440	PYC1	P2B04;P3F05;P3E08;P2C11;P2C02
1441	CUL3	P2B04;P3D02
1442	GSC2	P2B04;P3F05;P2G10;P1E04;P1G08;P1C07;P1F11;P2B08
1443	MUP1	P2B04;P2G05;P3C04
1444	SPT6	P2B04;P2B05;P3F03
1445	BUB1	P2B04
1446	CRH1	P2B04
1447	FYV8	P2B04;P1G05;P3C05;P2D06
1448	PMT6	P2B04;P2G04
1449	YGR204W;YGR204W	P2B04
1450	HSV2	P2B04
1451	LSC2	P2B04
1452	RAD2	P2B04;P3C03;P1F08
1453	TAF1	P2B04;P2G04;P2C11
1454	MAL12	P2B04;P3C05;P3G09
1455	ECM29	P2B04;P3C04;P3C05;P1E04;P2F07;P2C06;P1C04
1456	VMA22	P2B04;P1E04
1457	GGA2	P2B04;P3C03;P2C05
1458	YHR110W;YHR110W	P2B04
1459	ROF1	P2B04;P2F07
1460	SET2	P2B04;P1C08;P2B07;P2G10
1461	URA2	P2B04;P2D08;P3E11;P2C06;P1C04
1462	LSM1	P2B04
1463	TOK1	P2B04;P2E11;P1G08;P1G08
1464	TAX4	P2B04;P3C03;P3C05;P2E11;P1H11
1465	TOR1	P2B04;P3D03;P3F05;P1G08;P2D11
1466	GRR1	P2B04;P3C03;P1C07
1467	IBA57	P2B04;P2B07;P3D05
1468	SRY1	P2B04;P2B04
1469	SAC1	P2B04
1470	UBA1	P2B04;P1G10;P1E04;P3F09
1471	CNB1	P2B04
1472	AVT3	P2B04;P3E08;P2C02
1473	RAD27	P2B04
1474	SLD2	P2B04;P1E04;P2D08
1475	AAT1	P2B04
1476	BCH2	P2B04;P2D06;P3B11
1477	HFL1	P2B04
1478	RIX7	P2B04
1479	BPT1	P2B04;P1B02;P1F05
1480	SSK1	P2B04;P2B04;P3F05
1481	ADE16	P2B04;P2G05;P2D11
1482	FRE8	P2B04;P3E11
1483	ZRT2	P2B04;P2G10
1484	RFX1	P2B04;P3B11
1485	YEF3	P2B04;P1D03;P2C02
1486	HSP60	P2B04;P2F09;P2G09;P1C04
1487	CDC25	P2B04;P3C05
1488	CHS5	P2B04;P2G04;P2C05
1489	STP3	P2B04
1490	VPS36	P2B04
1491	SEN1	P2B04;P3C03;P2B05;P3F03;P2C02
1492	VMA6	P2B04
1493	FPR4	P2B04;P3C10;P2C02
1494	COG8	P2B04;P2B11
1495	RNA14	P2B04;P3E02;P2C06
1496	AVO2	P2B04;P2B10;P1H11;P2D08;P2C05
1497	FDO1	P2B04;P2B04;P2G04;P3E11
1498	ABZ2	P2B04;P2G05;P3F03;P3F03;P3G09
1499	STB1	P2B04;P2C05
1500	BNI4	P2B04;P1B03;P3F09
1501	RAP1	P2B04;P2C05;P1E09
1502	MER1	P2B04;P1E04
1503	INN1	P2B04
1504	TOM70	P2B04;P1G05
1505	IMP4	P2B04
1506	BDP1	P2B04;P1B03;P1F05
1507	YNL030W;YNL030W	P2B04;P3C10;P1E04;P3F07;P1H11;P1B07;P3G10;P1G08;P2C11
1508	LST8	P2B04;P3D10
1509	SOL1	P2B04
1510	NDJ1	P2B04
1511	GAL11	P2B04;P2G04;P2G04;P3G10;P3E02
1512	LPL1	P2B04;P1F08
1513	TCB1	P2B04;P3D03;P3F09;P1F05
1514	VPH1	P2B04
1515	KRE5	P2B04
1516	GDS1	P2B04;P2G04;P2D11;P1D03
1517	CUB1	P2B04;P3D02
1518	APL5	P2B04
1519	DDC1	P2B04
1520	PRM4	P2B04
1521	KAP120	P2B04;P3C10;P3D05
1522	KTR6	P2B04;P3C03;P2G09
1523	GRS2	P2B04
1524	DBF20	P2B04;P2G05;P1D09
1525	AXL1	P2B04;P2B11;P1E09
1526	LOA1	P2B04
1527	CDS_XVI_844691_845995	P2B04
1528	TIF3	P2B04;P3E02;P3E02;P3E02
1529	AQY1	P2B04
1530	PIM1	P3F11;P3C04;P3D11;P3D02;P1C07;P1F11;P3B11
1531	GBP2	P3F11
1532	POL4	P3F11
1533	CWH43	P3F11;P2F07
1534	SSK22	P3F11;P3E08;P1E04;P2C02
1535	ACK1	P3F11;P1B02;P3C05;P2G04
1536	VPS41	P3F11;P1B04;P2B08
1537	SUR2	P3F11;P3F11;P3D05;P3G09;P2C11
1538	SKP1	P3F11
1539	RVS167	P3F11;P2C06;P2G09
1540	FDC1	P3F11;P3F03;P2D06
1541	CBR1	P3F11
1542	YER103W;YER103W	P3F11
1543	HNM1	P3F11;P2G04;P2G04
1544	PHB1	P3F11;P1C04
1545	WSS1	P3F11;P1E04
1546	AIM46	P3F11
1547	DPI8	P3F11
1548	TRK1	P3F11;P1G04;P2G10;P2G04;P1D03
1549	HUL4	P3F11;P1E11;P3F05
1550	OPI3	P3F11;P2D08
1551	RPL14A	P3F11;P2G10
1552	PDR8	P3F11
1553	TMA10	P3F11;P3C03
1554	SOV1	P3F11
1555	CTF13	P3F11;P3C03;P1G10;P2F09;P2D06;P2C02
1556	GAS3	P3F11;P2C05
1557	GAS1	P3F11
1558	YPT11	P3F11
1559	IST1	P3F11;P1E04
1560	NPR1	P3F11;P3C07;P2D11
1561	RPL25	P3F11;P1E09
1562	GPD2	P3F11
1563	PRE6	P3F11
1564	AHC1	P3F11;P1E11;P3C05;P2G09
1565	PRT1	P3F11
1566	FMP40	P3F11
1567	SET6	P3F11;P3F09
1568	PNG1	P3F11;P3C04
1569	RPS6A	P3F11
1570	SDD4	P3F11;P3C10;P3B11
1571	SYT1	P3F11;P2C05;P2D06;P1C04
1572	EHT1	P1B02;P2B05;P3D05;P2D06
1573	PHO89	P1B02
1574	PWP2	P1B02;P3C03;P1G04;P3F05;P2B05
1575	GUD1	P1B02
1576	PCL2	P1B02
1577	SNA4	P1B02;P3C07
1578	BRE1	P1B02;P2G04
1579	TRS85	P1B02;P1B04;P1F08;P2B05;P3C11
1580	ALT2	P1B02;P2C02
1581	MSC2	P1B02;P3F03
1582	CDS_IV_871902_873218;CDS_IV_871902_873194	P1B02;P2C06
1583	PRP42	P1B02;P2B11
1584	SUM1	P1B02;P3F05;P3D05;P1G08;P2C06;P2C06;P1C04;P1C04
1585	GIN4	P1B02;P2C02
1586	CDS_IX_19847_21220	P1B02;P3D05
1587	ARC15	P1B02
1588	SQT1	P1B02
1589	RML2	P1B02
1590	RAD23	P1B02;P2C05
1591	IRC22	P1B02;P1B04
1592	RPN3	P1B02;P3C03
1593	UBP9	P1B02
1594	ALR2	P1B02
1595	RPO41	P1B02;P1G05;P2B11;P1B03;P3F07
1596	HXK2	P1B02;P2B11;P2D08;P1F05;P2C06;P2G09
1597	SPO74	P1B02;P1E04
1598	THG1	P1B02
1599	NUP57	P1B02;P3D03;P2B05;P2B08
1600	MIC26	P1B02;P2E06;P3D05
1601	MGA1	P1B02;P3F05;P2G09
1602	VPS35	P1B02
1603	HYM1	P1B02
1604	COY1	P1B02;P3C04;P1G04;P2E06
1605	NNR2	P1B02;P2C06
1606	CWP1	P1B02;P3C03
1607	VBA5	P1B02;P3E08;P2C05;P2C06
1608	MNL2	P1B02;P1E04;P2B05;P3D05
1609	RKM5	P1B02
1610	ATP14	P1B02
1611	BDF1	P1B02;P1G05;P1E04
1612	ITT1	P1B02;P2C05
1613	SPC2	P1B02
1614	CDC5	P1B02
1615	NAT4	P1B02;P1E11;P2D06
1616	BCH1	P1B02;P1C04
1617	PRE5	P1B02
1618	NAR1	P1B02;P3C05;P3C05;P3E11
1619	GCR2	P1B02;P2B08
1620	AGA1	P1B02;P3C10;P1E04;P1E04;P1E04;P2E06
1621	BIO4	P1B02
1622	HMS1	P1B02
1623	VPS17	P1B02;P2B05;P2C06;P1D03
1624	ATG40	P1B02;P1B04;P2E11;P2D08;P2D08
1625	GCD1	P1B02;P1C09
1626	YAR1	P1B02
1627	TAF3	P1B02;P1C09
1628	FUR4	P3C07;P3B11;P1C04
1629	UBP14	P3C07;P3C10;P1D03
1630	RPG1	P3C07;P2B10;P3E08;P1F08;P1D03
1631	EXO84	P3C07
1632	SHE3	P3C07;P1B04
1633	BEM1	P3C07
1634	MTC4	P3C07
1635	LRG1	P3C07;P2D06;P2D06
1636	ENT1	P3C07;P2G05;P1G04
1637	PHO2	P3C07;P2G05
1638	MBP1	P3C07;P3C03
1639	PBP4	P3C07;P3F03;P3F03
1640	MTF2	P3C07
1641	YDR058C;YDR058C	P3C07
1642	SWF1	P3C07
1643	YCF1	P3C07;P2G05;P2G11;P2B05;P3G10;P1C04
1644	SNF6	P3C07;P1C08;P2B05
1645	RAD26	P3C07
1646	TTI2	P3C07
1647	PXA2	P3C07;P2B05
1648	PRS1	P3C07;P1C08;P3F03
1649	APS1	P3C07
1650	UTP21	P3C07;P1B04;P3F03;P1C09
1651	LAP3	P3C07;P2E06
1652	JJJ1	P3C07
1653	FMP41	P3C07;P3E02
1654	ALG12	P3C07;P1E09
1655	DIA2	P3C07;P3F03
1656	TFB2	P3C07;P1H11
1657	RPA135	P3C07
1658	AGC1	P3C07;P3C03;P3D10;P2B05;P3D05
1659	SPC72	P2G05
1660	CDC15	P2G05;P2E06
1661	MIX23	P2G05
1662	MRX3	P2G05;P2B10
1663	PRE7	P2G05
1664	TKL2	P2G05;P2E11
1665	YSW1	P2G05;P1E11;P1E11;P2G09
1666	SSE2	P2G05;P3E02
1667	DER1	P2G05
1668	CSM1	P2G05;P1G04
1669	BRE4	P2G05;P1G04;P2D11;P2C02
1670	NRP1	P2G05
1671	SAS10	P2G05;P1B03;P2C11
1672	RPP1B	P2G05;P1C09;P1C04
1673	GET3	P2G05;P2C11
1674	SLM3	P2G05
1675	CDS_IV_513497_517516	P2G05
1676	ARO1	P2G05;P3C04;P3D11;P2B11;P2B05;P2G04
1677	HSP42	P2G05
1678	ADR1	P2G05;P3D03;P1B04;P2D06
1679	HEL2	P2G05
1680	HNT2	P2G05
1681	STP1	P2G05;P3G10
1682	VPS3	P2G05;P3G10;P1C04
