	gene	pops
20	LRP1	P2F11;P2D06
21	STE12	P2F11;P3G11;P2G05;P3C03;P3C04;P3B08;P2G04;P2C05
22	DNA2	P2F11;P3D09;P2D03;P3C03;P1G04;P3F05;P3D11;P1D09;P2B05;P3F03;P3F03;P1G11;P3C11;P3B11;P1F05;P3E02;P2C02
23	MTG2	P2F11
24	SWE1	P2F11;P2G11;P1G08
25	CYR1	P2F11;P2F02;P2C10;P1B11;P2G10;P3C11
26	JEN1	P2F11
27	RGT1	P2F11;P2F02;P3G02;P3C03;P2F09
28	HSP104	P2F11;P2B09;P1C05;P2C10;P3G05;P3G06;P1F10;P3F11;P1B02;P3C07;P3C10;P1C08;P3C03;P1G10;P1G10;P3D10;P2B07;P1E11;P3D11;P3D11;P3E08;P2B11;P1B04;P1B04;P1F08;P1H11;P1B07;P2E06;P3F03;P3D05;P3C11;P2G04;P3G10;P1G08;P1C07;P3F09;P3B11;P2F07;P2C06;P2C02;P2C02;P2G09;P1C04
29	SWI6	P2F11;P1C02;P2B10
30	DIC1	P2F11;P2C02
31	SMC6	P2F11;P1B02
32	FMP27	P2F11;P1B02;P2B10;P1G05;P3C05;P2G04;P2G04;P2C05;P2F07
33	ARG81	P2F11;P2G08;P3G06;P2B04;P2B04;P3C10;P3G10;P3F09;P3E02;P1C04
34	DUS1	P2F11
35	USA1	P2F11;P2F11;P3C05;P2C05;P1F11;P3E02
36	NSE5	P2F11;P1C11
37	SDD2	P2F11;P3G06
38	MME1	P2F11;P3F03
39	GAD1	P2F11;P1C04
40	ADE4	P2F11;P3D09;P1C06;P3G02;P1G09;P1F07;P3C03;P1G10;P1G04;P1E11;P3F05;P3D11;P1F08;P1B07;P1G11;P3C11;P2D08;P1G08;P2D11;P1C07;P1F11;P2E08;P1E09;P1E09;P1E09;P1F05;P3E11;P1D03
41	NMA111	P2F11;P2C04;P2B07;P2D11
42	DMA2	P2F11;P1G04;P1E04
43	APJ1	P2F11
44	BIO3	P2F11;P3D02
45	RTC1	P2F11;P3G06;P1E11;P1H11;P2C06
46	MCH4	P2F11
47	AUS1	P2F11;P3E08;P1B04;P3F07;P3G09
48	ERP4	P2F11
49	DFG16	P2F11
50	LEO1	P2F11;P2C10
51	SER1	P2F11
52	THP3	P2F11
53	CDS_I_218557_219153	P2B09;P2B09;P2B07
54	CHS2	P2B09;P3G06;P1F07;P3D11
55	RFC5	P2B09;P2D03
56	DTR1	P2B09;P2B04;P3E11;P1C04
57	GLT1	P2B09;P3C10;P3C05;P2G10;P2B11;P2B05;P1D03
58	MSH5	P2B09;P1G05
59	MCH1	P2B09;P2C10;P2C10
60	VPS54	P2B09;P2F02;P2D06;P1F05
61	RKM2	P2B09;P2B05
62	SNX41	P2B09;P3B11
63	FPR2	P2B09
64	CDS_IX_205638_206488;CDS_IX_205638_206487	P2B09;P2G08;P2G08;P2G08
65	SEC6	P2B09;P3G06
66	TIM44	P2B09
67	HXT13	P2B09;P1C02;P3C11;P2G04
68	URA3	P2B09;P3B10
69	SCC4	P2B09
70	SPT15	P2B09;P2F02;P1C11
71	OXA1	P2B09;P2E08
72	YGL164C;YGL164C	P2B09
73	CDC20	P2B09;P2G04;P2C06
74	PUS2	P2B09;P1E04;P1E04
75	FHN1	P2B09
76	CWC22	P2B09;P1C02;P2C06
77	ERP5	P2B09;P2G04
78	RPA34	P2B09;P3D11
79	ARG2	P2B09;P3D09;P3G05;P3C03
80	GYP6	P2B09;P2C04
81	SYS1	P2B09
82	RAV1	P2B09;P2D08;P2E08
83	LIH1	P2B09
84	MET5	P2B09
85	SRP40	P2B09;P2E11
86	COF1	P2B09
87	KIN2	P2B09;P1C06;P3G11;P3C10;P3C04;P3C05;P1B04;P2E06;P2C05;P2C02
88	CCW12	P2B09;P1G09;P3B07;P3B10;P3B10;P1F07;P2B04;P3C03;P3D10;P2B07;P3E08;P1F08;P1B07;P3G09;P3G09;P3G09;P3G09;P3G10;P3F09;P2B08;P1F05;P2C02;P2G09;P2G09
89	ACE2	P2B09;P1C02;P1G09;P3B10;P1F10;P1F07;P3C07;P1G05;P1H11;P1C09;P1G08;P3F09;P1F11;P1E09;P1F05;P1D03
90	MDM1	P2B09;P2C04;P3F05;P3D02;P2F09;P2E11;P1F05
91	ILV2	P2B09;P2C04;P2C04;P1B11;P2B10;P2G04
92	FKS3	P2B09;P1G09;P2B04;P3C03;P1G04;P2B05
93	PDR16	P2B09;P2B09
94	IRA2	P2B09;P3G06;P1G09;P3F11;P3C10;P1G10;P3C04;P3D03;P1E11;P3D11;P3E08;P2F09;P3B08;P2E06;P2E06;P2G04;P2G04;P1G08;P2C06;P2C02
95	DNL4	P2B09;P3D09;P2B04;P2B05;P2B05;P2G04
96	OAZ1	P2B09;P2F09
97	FUN30	P2F02;P1B03
98	SRO77	P2F02;P2F02;P3G06;P2B05;P3F03;P1D03
99	BRN1	P2F02
100	NUP170	P2F02;P3G02;P1B02;P2F09;P1B04;P1C07
101	PET9	P2F02;P1B04;P1F05
102	IPP1	P2F02;P3F11;P3D05
103	TAT1	P2F02;P3B07;P2C05;P1C07
104	PHO3	P2F02;P3C07;P2C02
105	HSL7	P2F02;P2B04
106	MEC1	P2F02;P1C02;P3G06;P3D11;P1B03;P3B08;P3D05;P3G10;P2C05;P2G09
107	ISW1	P2F02;P2E06;P3G09
108	PAF1	P2F02;P2D08;P1F05
109	APM3	P2F02;P2G05;P1F05;P2C02
110	SED4	P2F02;P1B07;P3E11
111	RSA4	P2F02;P2E11
112	PTC6	P2F02;P2C04;P3C07;P2B11;P2D11;P2C11;P2G09
113	CLB3	P2F02;P3G05
114	ATG9	P2F02
115	RPO21	P2F02;P2G08;P1C06;P3B07;P1G04;P1B03;P3B08;P1C07;P1C07;P3E11;P3E02
116	VCX1	P2F02;P3D11
117	TRM3	P2F02;P2C04;P3F05;P2C06
118	PMT1	P2F02;P1G05;P3F09
119	SYO1	P2F02;P1B02;P1D09
120	MCD1	P2F02
121	KRS1	P2F02;P2C04;P2G05;P2E06;P2D06
122	RAD55	P2F02;P2C04
123	ARP10	P2F02;P2D03;P2F09
124	DPB4	P2F02
125	HPR1	P2F02
126	TCP1	P2F02;P3G02
127	EXG2	P2F02;P3C10
128	SSD1	P2F02;P1C08;P2E06;P1C04
129	SWR1	P2F02;P1C06;P2G05;P2C05;P2E08;P2C06;P2C11
130	SBE2	P2F02;P3G02;P1E11;P3F07;P3F09
131	TRR1	P2F02;P1C05;P2B04;P1B02;P3C03;P3F05;P1B04;P1B03;P1E04;P2C05;P1F05;P2C06;P1D03;P2C02;P1C04
132	ADE8	P2F02;P1D09;P1G11;P2C05;P1C04
133	RRP17	P2F02
134	PPN1	P2F02;P2C10;P2C06
135	PEX29	P2F02;P2B08
136	LPP1	P2F02
137	REV7	P2F02
138	KGD1	P2F02;P2C04;P3E11;P2G09
139	NUP159	P2F02;P1C02;P1C02;P1B02;P1G05;P1C04
140	THS1	P2F02;P2E11
141	PAU2	P2F02;P1C06
142	SAP1	P2F02;P2F02
143	ARG5,6	P2F02;P2D03;P3D05
144	AIM10	P2F02;P2C04
145	AVT6	P2F02
146	PAB1	P2F02;P3E02
147	BCK2	P2F02;P3G02;P2D03;P3G06;P1H11
148	RAD3	P2F02;P2C10;P2C04;P3C03;P2F07
149	TMT1	P2F02
150	PDA1	P2F02;P2B04;P2G11;P2B05;P2D06;P2D06;P1F05
151	ACT1	P2F02;P1G04
152	YPT1	P2F02
153	HFM1	P2F02;P1B02;P1B02;P1B02;P3F05
154	TAD1	P2F02;P2B04;P1C07
155	KAP114	P2F02;P1F10;P3E11;P1D03
156	NIF3	P2F02
157	EMP24	P2F02;P2B04;P1B02
158	AMS1	P2F02;P3B07;P3B10;P2B04;P3F03
159	ASK10	P2F02;P2F09
160	PEX4	P2F02
161	ADE3	P2F02;P1C06;P1C02;P3G06;P2B04;P2G11;P1G05;P3C05;P1B04;P2E11;P1H11;P2G04;P2G09
162	CCH1	P2F02;P2D03;P1B04;P2D06
163	KEL2	P2F02
164	SLH1	P2F02;P3D09;P1C06;P2D03;P3B10;P3D10;P1G05;P3F03;P3D05;P2C05;P1D03;P2C02
165	IMA1	P2F02;P2G04
166	MAL13	P2F02
167	ERG7	P2F02
168	NMD2	P2F02;P3D09;P3B07;P1C08;P3B08;P3E02
169	GEP4	P2F02
170	UTP9	P2F02;P2B04
171	INO1	P2F02;P1C05;P1G04;P2C02
172	ALB1	P2F02
173	CHS6	P2F02
174	IKS1	P2F02
175	NUP192	P2F02;P2C10;P3D05;P2G04;P2G04;P2G04
176	CCT8	P2F02
177	RBH2	P2F02;P1G04
178	OSM1	P2F02;P3C04
179	SGM1	P2F02
180	EMC3	P2F02
