plate	Well	Gen70_s_zeroed	Gen550_s_zeroed	Gen1410_s_zeroed	Gen2640_s_zeroed	Gen3630_s_zeroed	Gen5150_s_zeroed	Gen7530_s_zeroed	Gen10150_s_zeroed	platewell	contam	strain	genes_fixed_10K	focal
P1	G08	0.009692304492710023	0.14090796502481565	0.17126674274856815	0.1926608652448891	0.2094029409290022	0.20359272383548735	0.2236839880590216	0.21990541268979352	P1G08			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	G09	-0.010694308195596023	0.03898350502030407	0.043109846709826934	0.16928722112653044	0.19799275829365665	0.2083422090773807	0.2259218466668859	0.2325159276282849	P1G09			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	G10	0.10490200334284036	0.14948909019816864	0.17574625321277704	0.18825581743105027	0.20714844046083405	0.2111332816279504	0.2346700596871289	0.2233490081498969	P1G10			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	G11	0.16013921372357132	0.15637941287911086	0.17740604727044035	0.19639033672241185	0.20884371796674855	0.2093560023896576	0.2259874410391184	0.2268661686182381	P1G11			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	G12									P1G12				False
P1	H01									P1H01				False
P1	H02	0.12696687490399064	0.13374979565608472	0.14980228615076227	0.1804132845639803	0.18096338698213024	0.1814636179256469	0.2292201450001144	0.21834023071401126	P1H02				False
P1	H03									P1H03				False
P1	H04	0.13005727687603905	0.14409707887608847	0.16619654321643987	0.18747131737752384	0.2150792098222032	0.1981977583541469	0.2282360057517739	0.22383883426646944	P1H04				False
P1	H05	0.12774539654614656	0.14085977388317247	0.16685350810535998	0.20285191478127454	0.22510834261726806	0.2123412427097038	0.2519189371851351	0.2379625767958053	P1H05				False
P1	H06	0.12371079801319708	0.15685870778883154	0.18269472001149006	0.2035282795687334	0.2321302694290334	0.22471379184691032	0.2535166854011168	0.24429667247318945	P1H06				False
P1	H07	-0.0039060312618982023	0.14694764532167484	0.16566321213608126	0.1678612923100566	0.1799110831821623	0.19034683662208932	0.19614416817528132	0.19791844072632575	P1H07				False
P1	H08	-0.0032338541270289234	0.08205840966057974	0.09841853797665348	0.12031363635247044	0.13405650858747675	0.17339874689635992	0.2124271211123814	0.21908043690450746	P1H08				False
P1	H09	-0.0029810825363765503	0.0086459777249806	0.06289960695313207	0.14035135251872996	0.17335237371967951	0.178931301717261	0.20268452999464806	0.2114415085509668	P1H09				False
P1	H10	-0.029127336197739825	0.12573558944261332	0.14417978353326927	0.16489472493458715	0.16972418904730466	0.16567810334218547	0.18308996196355	0.18796147644551986	P1H10				False
P1	H11	0.16234734384805782	0.1729164487553032	0.20036132474783352	0.20213581153577295	0.22347506998069788	0.2220320110080221	0.2509507052356393	0.23752702687359314	P1H11			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	H12	-0.006061896139610445	0.017747537448286388	0.009451902832855824	0.15007764538966573	0.17707718830162136	0.18793199107140005	0.2222633822186244	0.20773792888058465	P1H12				False
