plate	Well	Gen550_s_scaled	Gen1410_s_scaled	Gen5150_s_scaled	Gen10150_s_scaled	Gen70_s_scaled	Gen2640_s_scaled	Gen3630_s_scaled	Gen7530_s_scaled	plate.well	contam	strain	Genes_fixed_10K	focal
P3	G12	-0.07973641321409125	-0.06421064526849082	-0.11727408007211708	-0.0904413255090586	-0.13978901175119285	-0.21210253208567453	-0.22197335304025945	-0.19254156602572	P3G12	blank	blank		False
P3	H01	-0.024138748827686702	0.012870684984091142			-0.073539165083798				P3H01	blank	blank		False
P3	H02	-0.030546102903298643	0.013976673247103165	0.0550857943987836	0.15005063189608667	-0.10075538976546326	0.030359116990558595	0.06203751248095165	0.10958853019057953	P3H02	No	a		False
P3	H03	-0.02263108513763614	-0.005466243156565846	0.06408366267914335	0.13238194734331885	-0.10050043819736856	0.031216922481016162	0.06940827165559335	0.09477349839358272	P3H03	No	a		False
P3	H04	-0.033370618105564874	0.020812931644692376	0.06572913743415107	0.145599416968133	-0.07063735781999526	0.05283903698597492	0.08772625276852009	0.11078338639880833	P3H04	No	a		False
P3	H05	-0.06313955072678222	-0.00028443563662942234	0.05147306451788435	0.1372065679068179	-0.0768997711032896	0.03538541712276483	0.07651906454425769	0.09082596369757284	P3H05	No	a		False
P3	H06	-0.04158117104526484	0.021498293968041617	0.08571846533750546		-0.08457817733849	0.035866067172910784	0.08296324740933457	0.1160940928652991	P3H06	blank	blank		False
P3	H07	-0.01912328254965964	0.017043637749454398			-0.006862883980672082	0.06826316115417794	0.10830204759518848		P3H07	blank	blank		False
P3	H08	0.02432984532248009	0.04154135648453596			-0.005443180995871745	0.052130438076349546	0.09457541761535952		P3H08	blank	blank		False
P3	H09	0.002087840798137959	0.06234338027048016	0.11470181003968175		-0.01076731703045989	0.059612988589340464	0.08755955971144769		P3H09	blank	blank		False
P3	H10	-0.00785353074997796	0.019291281294787875	0.09237766238752608		-0.04252240242061181	0.045842156465707606	0.08956502194579137		P3H10	blank	blank		False
P3	H11	-0.0265333756168206	0.021138109207366286	0.07894119105910627		-0.11132121992328173	0.027200433046811072	0.05532112133470405		P3H11	blank	blank		False
P3	H12	-0.03458034336247693	0.003972512735458518		0.04010429164517335	-0.03124102917451617	-0.3549696433596543	0.006297572250193187		P3H12	blank	blank		False
